Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
;LGO DEI GELSOMINI N. 10 (z.d. 6);LGO;DEI GELSOMINI;10;5394;6;;;55
;PZA FIDIA N. 3 (z.d. 9);PZA;FIDIA;3;1144;9;CENTRO MASSAGGI RILASSANTI NON ESTETICI;2;28
;VIA ADIGE N. 10 (z.d. 5);VIA;ADIGE;10;4216;5;CENTRO BENESSERE;2;27
;VIA BARACCHINI FLAVIO N. 9 (z.d. 1);VIA;BARACCHINI FLAVIO;9;356;1;TRUCCO SEMIPERMANENTE;;
;VIA BERGAMO N. 12 (z.d. 4);VIA;BERGAMO;12;3189;4;;;50
;VIA BOTTEGO VITTORIO N. 13 (z.d. 2);VIA;BOTTEGO VITTORIO;13;2521;2;CENTRO BENESSERE;5;90
;VIA BRIOSCHI FRANCESCO N. 39 (z.d. 5);VIA;BRIOSCHI FRANCESCO;39;5243;5;;;123
;VIA CUCCHIARI DOMENICO N. 25 (z.d. 8);VIA;CUCCHIARI DOMENICO;25;7224;8;CENTRO MASSAGGI RILASSANTI NON ESTETICI;50;176
;VIA JAN GIORGIO N. 6 (z.d. 3);VIA;JAN GIORGIO;6;2154;3;ESTETICA TIPO A;26;35
;VIA LEGNONE N. 20 (z.d. 9);VIA;LEGNONE;20;1298;9;;;45
;VIA MELLONI MACEDONIO N. 30 (z.d. 4);VIA;MELLONI MACEDONIO;30;3085;4;CENTRO MASSAGGI RILASSANTI NON ESTETICI;29;20
;VIA NEGROLI N. 2 (z.d. 4);VIA;NEGROLI;2;3279;4;CENTRO MASSAGGI;11;33
;VIA PALMANOVA N. 67 (z.d. 2);VIA;PALMANOVA;67;2390;2;;;50
;"VIA POLLAIUOLO ANTONIO N. 16 ; (z.d. 9)";VIA;POLLAIUOLO ANTONIO;16;1146;9;;;100
;VIA PORPORA NICOLA ANTONIO N. 111 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;111;2229;3;CENTRO MASSAGGI RILASSANTI NON ESTETICI;14;19
;VIA PROCACCINI GIULIO CESARE N. 36 (z.d. 8);VIA;PROCACCINI GIULIO CESARE;36;7204;8;;;85
;VIA ROSSI PELLEGRINO N. 83 (z.d. 9);VIA;ROSSI PELLEGRINO;83;1510;9;CENTRO MASSAGGI;;
;"VIA SANT' ANATALONE N. 5 ; (z.d. 6)";VIA;SANT' ANATALONE;5;6587;6;;;
;"VIA SARPI FRA' PAOLO N. 22 ; (z.d. 8)";VIA;SARPI FRA' PAOLO;22;7210;8;;;56
;VIA SETTALA LODOVICO N. 20 (z.d. 3);VIA;SETTALA LODOVICO;20;2111;3;;;40
;"VIA STRAMBIO GAETANO N. 23 estetista in appartamento; (z.d. 3)";VIA;STRAMBIO GAETANO;23;3168;3;;;36
;VIA TENCA CARLO N. 10 (z.d. 2);VIA;TENCA CARLO;10;2118;2;TATUAGGI E PIERCING;52;47
;VIA TOSELLI PIETRO N. 1 (z.d. 2);VIA;TOSELLI PIETRO;1;2360;2;;;45
;VIA VERITA' DON GIOVANNI N. 4 (z.d. 9);VIA;VERITA' DON GIOVANNI;4;1469;9;;;
;VIA WATT GIACOMO N. 5 (z.d. 6);VIA;WATT GIACOMO;5;5292;6;CENTRO MASSAGGI RILASSANTI NON ESTETICI;;
;VLE BLIGNY N. 23 (z.d. 5);VLE;BLIGNY;23;4045;5;SERVIZI DI CENTRI PER IL BENESSERE FISICO;;149
;VLE CORSICA N. 91 (z.d. 4);VLE;CORSICA;91;3262;4;;;45
;VLE SABOTINO N. 5 (z.d. 5);VLE;SABOTINO;5;4046;5;;;51
;VLE SABOTINO N. 8 (z.d. 5);VLE;SABOTINO;8;4046;5;ESTETICA A;;46
;VLE SUZZANI GIOVANNI N. 19 (z.d. 9);VLE;SUZZANI GIOVANNI;19;1446;9;;;66
;VLE TUNISIA N. 38 (z.d. 2);VLE;TUNISIA;38;2121;2;acconciatore;3;32
Acconciatore;CSO BUENOS AIRES N. 23 (z.d. 3);CSO;BUENOS AIRES;23;2129;3;;;68
Acconciatore;CSO COMO N. 15 interno club f. conti
 (z.d. 9);CSO;COMO;15;1111;9;ACCONCIATORE;;195
Acconciatore;"CSO DI PORTA NUOVA N. 46 ; (z.d. 1)";CSO;DI PORTA NUOVA;46;1044;1;;;34
Acconciatore;CSO DI PORTA VITTORIA N. 54 (z.d. 1);CSO;DI PORTA VITTORIA;54;3016;1;;;25
Acconciatore;CSO DI PORTA VITTORIA N. 8 (z.d. 1);CSO;DI PORTA VITTORIA;8;3016;1;;;28
Acconciatore;CSO GARIBALDI GIUSEPPE N. 39 (z.d. 1);CSO;GARIBALDI GIUSEPPE;39;1010;1;;;54
Acconciatore;CSO GARIBALDI GIUSEPPE N. 65 (z.d. 1);CSO;GARIBALDI GIUSEPPE;65;1010;1;;;70
Acconciatore;CSO ITALIA N. 36 (z.d. 1);CSO;ITALIA;36;526;1;;;57
Acconciatore;CSO LODI N. 103 (z.d. 4);CSO;LODI;103;4068;4;;;55
Acconciatore;"CSO LODI N. 36 ; (z.d. 5)";CSO;LODI;36;4068;5;;1;18
Acconciatore;CSO PLEBISCITI N. 12 (z.d. 4);CSO;PLEBISCITI;12;3120;4;;;30
Acconciatore;CSO VENTIDUE MARZO N. 40 (z.d. 4);CSO;VENTIDUE MARZO;40;3074;4;;;50
Acconciatore;CSO VERCELLI N. 29 (z.d. 7);CSO;VERCELLI;29;6193;7;acconciatore;;172
Acconciatore;"PAS DUOMO N. 2 piano primo; (z.d. 1)";PAS;DUOMO;2;102;1;;;81
Acconciatore;PLE F.LLI ZAVATTARI N. 4 (z.d. 7);PLE;F.LLI ZAVATTARI;4;6537;7;;;45
Acconciatore;"PLE LAGOSTA N. 1 ; (z.d. 9)";PLE;LAGOSTA;1;1155;9;;;45
Acconciatore;"PZA ANGILBERTO II N. 9 ; (z.d. 5)";PZA;ANGILBERTO II;9;4278;5;;;35
Acconciatore;PZA ASPARI DOMENICO N. 2 (z.d. 3);PZA;ASPARI DOMENICO;2;3173;3;ACCONCIATORE;;
Acconciatore;PZA BOLIVAR SIMONE N. 6 (z.d. 6);PZA;BOLIVAR SIMONE;6;6129;6;;;25
Acconciatore;PZA BOLIVAR SIMONE N. 6 (z.d. 6);PZA;BOLIVAR SIMONE;6;6129;6;;;33
Acconciatore;PZA CHIARADIA ENRICO N. 9 (z.d. 5);PZA;CHIARADIA ENRICO;9;4252;5;;;53
Acconciatore;"PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)";PZA;DE ANGELI ERNESTO;1;6276;7;acconciatore;;
Acconciatore;"PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)";PZA;DE ANGELI ERNESTO;1;6276;7;ACCONCIATORE;40;100
Acconciatore;PZA DELLA REPUBBLICA N. 32 (z.d. 2);PZA;DELLA REPUBBLICA;32;1055;2;ACCONCIATORE;;35
Acconciatore;PZA OSPEDALE MAGGIORE N. 3 (z.d. 9);PZA;OSPEDALE MAGGIORE;3;1523;9;;;40
Acconciatore;"PZA PREALPI N. 4 ; (z.d. 8)";PZA;PREALPI;4;7300;8;;;55
Acconciatore;"PZA RISORGIMENTO N. 7 ; (z.d. 3)";PZA;RISORGIMENTO;7;3117;3;;10;40
Acconciatore;VIA ALTAMURA SAVERIO N. 17 (z.d. 7);VIA;ALTAMURA SAVERIO;17;6576;7;ACCONCIATORE;;37
Acconciatore;VIA AMADEO GIAN ANTONIO N. 27 (z.d. 3);VIA;AMADEO GIAN ANTONIO;27;3228;3;;;
Acconciatore;"VIA ARBE N. 65 ; (z.d. 2)";VIA;ARBE;65;1352;2;;2;40
Acconciatore;VIA ARCHIMEDE N. 83 (z.d. 4);VIA;ARCHIMEDE;83;3086;4;;;59
Acconciatore;VIA ARNOLFO DI CAMBIO N. 2 (z.d. 8);VIA;ARNOLFO DI CAMBIO;2;7230;8;;;55
Acconciatore;VIA ASTESANI ALESSANDRO N. 2 (z.d. 9);VIA;ASTESANI ALESSANDRO;2;1558;9;ACCONCIATORE;;26
Acconciatore;VIA BERGAMO N. 12A (z.d. 4);VIA;BERGAMO;12A;3189;4;;;39
Acconciatore;"VIA BERGAMO N. 2 ; (z.d. 4)";VIA;BERGAMO;2;3189;4;;;40
Acconciatore;"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 9 ; (z.d. 6)";VIA;BERGOGNONE AMBROGIO DA FOSSANO;9;5130;6;;;16
Acconciatore;VIA BONGHI RUGGERO N. 12 (z.d. 5);VIA;BONGHI RUGGERO;12;5247;5;;;40
Acconciatore;"VIA BORSI GIOSUE' N. 2 ; (z.d. 6)";VIA;BORSI GIOSUE';2;5237;6;;;20
Acconciatore;VIA BORSI GIOSUE' N. 2 (z.d. 6);VIA;BORSI GIOSUE';2;5237;6;;;40
Acconciatore;VIA BOSCOVICH RUGGERO N. 17 (z.d. 2);VIA;BOSCOVICH RUGGERO;17;2131;2;;;25
Acconciatore;VIA BOTTESINI GIOVANNI N. 7 (z.d. 3);VIA;BOTTESINI GIOVANNI;7;2567;3;;;45
Acconciatore;"VIA BRUZZESI GIACINTO N. 25 ; (z.d. 6)";VIA;BRUZZESI GIACINTO;25;5388;6;ACCONCIATORE;15;69
Acconciatore;VIA BUSCHI AVERARDO N. 20 (z.d. 3);VIA;BUSCHI AVERARDO;20;2575;3;;;32
Acconciatore;"VIA CACCIATORI BENEDETTO N. 12 ; (z.d. 7)";VIA;CACCIATORI BENEDETTO;12;6305;7;;;46
Acconciatore;"VIA CADORE N. 48 ; (z.d. 4)";VIA;CADORE;48;3077;4;;;28
Acconciatore;VIA CAPECELATRO ALFONSO N. 23 (z.d. 7);VIA;CAPECELATRO ALFONSO;23;6575;7;;;45
Acconciatore;VIA CAPPELLINI ALFREDO N. 16 (z.d. 2);VIA;CAPPELLINI ALFREDO;16;2130;2;ACCONCIATORE;3;38
Acconciatore;VIA CASORETTO N. 1 (z.d. 3);VIA;CASORETTO;1;2420;3;;;42
Acconciatore;VIA CASTALDI PANFILO N. 29 (z.d. 3);VIA;CASTALDI PANFILO;29;2119;3;;;37
Acconciatore;VIA CELIO N. 2 (z.d. 7);VIA;CELIO;2;6623;7;ACCONCIATORE;26;23
Acconciatore;VIA CESARIANO CESARE N. 8 (z.d. 1);VIA;CESARIANO CESARE;8;7113;1;;;30
Acconciatore;VIA CIVITALI MATTEO N. 25 (z.d. 7);VIA;CIVITALI MATTEO;25;6569;7;;;31
Acconciatore;VIA COLLETTA PIETRO N. 9 (z.d. 4);VIA;COLLETTA PIETRO;9;4078;4;;;30
Acconciatore;VIA CONSOLE MARCELLO N. 10 (z.d. 8);VIA;CONSOLE MARCELLO;10;7278;8;;;50
Acconciatore;VIA COPERNICO NICOLO' N. 61 (z.d. 2);VIA;COPERNICO NICOLO';61;1204;2;;;35
Acconciatore;VIA CORREGGIO N. 8 (z.d. 7);VIA;CORREGGIO;8;6287;7;ACCONCIATORE;;
Acconciatore;VIA CORREGGIO N. 8 (z.d. 7);VIA;CORREGGIO;8;6287;7;ACCONCIATORE;;
Acconciatore;VIA CRESPI PIETRO N. 13 (z.d. 2);VIA;CRESPI PIETRO;13;2296;2;ACCONCIATORE;20;16
Acconciatore;VIA CRESPI PIETRO N. 13 (z.d. 2);VIA;CRESPI PIETRO;13;2296;2;ACCONCIATORE;;30
Acconciatore;VIA CUSANI N. 7 (z.d. 1);VIA;CUSANI;7;719;1;;;56
Acconciatore;VIA DARWIN CARLO ROBERTO N. 17 int. residenze anni azzurri (per anziani) (z.d. 6);VIA;DARWIN CARLO ROBERTO;17;5238;6;;;25
Acconciatore;VIA DE AMICIS EDMONDO N. 47 (z.d. 1);VIA;DE AMICIS EDMONDO;47;574;1;;9;51
Acconciatore;VIA DE CRISTOFORIS CARLO N. 15 (z.d. 9);VIA;DE CRISTOFORIS CARLO;15;1120;9;;1;43
Acconciatore;VIA DELLA MOSCOVA N. 48 (z.d. 1);VIA;DELLA MOSCOVA;48;1016;1;ACCONCIATORE;24;50
Acconciatore;"VIA DELLE FORZE ARMATE N. 232 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;232;6643;7;;;36
Acconciatore;VIA DELLE FORZE ARMATE N. 234 (z.d. 7);VIA;DELLE FORZE ARMATE;234;6643;7;;;28
Acconciatore;VIA DEL RICORDO N. 57 (z.d. 2);VIA;DEL RICORDO;57;2496;2;;;30
Acconciatore;VIA DE PRETIS AGOSTINO N. 5 (z.d. 6);VIA;DE PRETIS AGOSTINO;5;5431;6;ACCONCIATORE;6;44
Acconciatore;VIA DOGANA N. 3 (z.d. 1);VIA;DOGANA;3;341;1;;;50
