t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Tipo A - Estetica Manuale,Piazza,DEL DUOMO,17,1,1,8.0,74.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,GIUSEPPE GARIBALDI,104,1010,1,26.5,48.5
Tipo A - Estetica Manuale;Parrucchiere per Donna,Corso,GIUSEPPE GARIBALDI,110,1010,1,37.0,88.0
Acconciatore,Corso,GIUSEPPE GARIBALDI,39,1010,1,6.0,54.0
Parrucchiere per Donna,Corso,GIUSEPPE GARIBALDI,46,1010,1,4.0,31.0
Acconciatore,Corso,GIUSEPPE GARIBALDI,65,1010,1,6.0,70.0
Acconciatore;Tipo A - Estetica Manuale,Corso,GIUSEPPE GARIBALDI,73,1010,1,3.0,73.0
Acconciatore,Corso,GIUSEPPE GARIBALDI,81,1010,1,6.0,37.0
Tipo A - Estetica Manuale,Via,ANFITEATRO,6,1012,1,8.0,40.0
Acconciatore,Via,DELLA MOSCOVA,10,1016,1,8.0,60.0
Parrucchiere per Uomo,Via,DELLA MOSCOVA,19,1016,1,5.0,20.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,DELLA MOSCOVA,24,1016,1,26.5,45.0
Acconciatore;Tipo A - Estetica Manuale,Via,DELLA MOSCOVA,29,1016,1,3.0,55.0
Acconciatore,Via,DELLA MOSCOVA,48,1016,1,24.0,50.0
Parrucchiere per Uomo,Via,DELLA MOSCOVA,66,1016,1,5.0,20.5
Acconciatore,Via,DELLA MOSCOVA,9,1016,1,2.0,17.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PINAMONTE DA VIMERCATE,5,1017,1,26.5,48.5
Tipo A - Estetica Manuale,Via,ALESSANDRO VOLTA,15,1018,1,8.0,45.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ALESSANDRO VOLTA,20,1018,1,20.0,70.0
Acconciatore,Via,ALESSANDRO VOLTA,8,1018,1,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ALESSANDRO VOLTA,8,1018,1,26.5,46.0
Acconciatore,Passaggio,DUOMO,2,102,1,6.0,81.0
Acconciatore,Via,DELIO TESSA,2,1020,1,6.0,37.0
Parrucchiere per Donna,Via,PALERMO,1,1025,1,4.0,31.0
Parrucchiere per Donna,Via,PALERMO,15,1025,1,4.0,47.0
Parrucchiere per Uomo,Via,PALERMO,18,1025,1,2.0,13.0
Tipo A - Estetica Manuale,Via,SOLFERINO,11,1028,1,8.0,45.0
Parrucchiere per Donna,Via,SOLFERINO,25,1028,1,4.0,31.0
Tipo A - Estetica Manuale,Via,SOLFERINO,3,1028,1,8.0,42.0
Tipo A - Estetica Manuale,Via,SOLFERINO,46,1028,1,8.0,45.0
Acconciatore,Via,SOLFERINO,56,1028,1,6.0,37.0
Acconciatore;Tipo A - Estetica Manuale,Via,STATUTO,12,1029,1,3.0,55.0
Acconciatore,Via,STATUTO,18,1029,1,6.0,37.0
Tipo A - Estetica Manuale,Via,LOVANIO,10,1030,1,15.0,80.0
Parrucchiere per Donna,Via,VARESE,1,1031,1,4.0,29.0
Parrucchiere per Donna,Via,VARESE,20,1031,1,4.0,30.0
Acconciatore,Via,VARESE,8,1031,1,6.0,37.0
Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,MILAZZO,6,1034,1,4.0,53.0
Acconciatore,Via,MARSALA,2,1035,1,6.0,37.0
Acconciatore,Via,MARSALA,9,1035,1,6.0,65.0
Acconciatore;Tipo A - Estetica Manuale,Via,SAN MARCO,20,1036,1,3.0,55.0
Parrucchiere per Donna,Via,SAN MARCO,28,1036,1,4.0,31.0
Parrucchiere per Uomo,Via,SAN FERMO,1,1042,1,5.0,21.0
Acconciatore,Corso,DI PORTA NUOVA,34,1044,1,16.0,38.0
Acconciatore,Corso,DI PORTA NUOVA,46,1044,1,6.0,34.0
Tipo A - Estetica Manuale,Via,GIUSEPPE PARINI,12,1049,1,8.0,45.0
Parrucchiere per Donna,Via,GIUSEPPE PARINI,5A,1049,1,3.0,70.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE PARINI,7,1049,1,2.0,15.0
Parrucchiere per Donna,Via,GIUSEPPE PARINI,9,1049,1,15.0,47.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE PARINI,9,1049,1,26.5,30.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,TOMMASO GROSSI,10,105,1,20.0,70.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ANDREA APPIANI,12,1050,1,26.5,48.5
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,DANIELE MANIN,3,1052,1,16.5,47.0
Tipo A - Estetica Manuale,Via,FILIPPO TURATI,26,1053,1,8.0,45.0
Parrucchiere per Uomo,Via,FILIPPO TURATI,29,1053,1,5.0,20.5
Tipo A - Estetica Manuale,Via,FILIPPO TURATI,3,1053,1,8.0,45.0
Parrucchiere per Donna,Piazza,DELLA REPUBBLICA,17,1055,2,4.0,31.0
Tipo A - Estetica Manuale,Piazza,DELLA REPUBBLICA,20,1055,2,8.0,45.0
Acconciatore,Piazza,DELLA REPUBBLICA,32,1055,2,6.0,35.0
Parrucchiere per Donna,Bastioni,DI PORTA NUOVA,15,1062,1,4.0,44.0
Centro Massaggi,Viale,FRANCESCO CRISPI,5A,1063,1,14.0,30.0
Parrucchiere per Donna,Viale,FRANCESCO CRISPI,5A,1063,1,4.0,31.0
Parrucchiere per Uomo,Viale,FRANCESCO CRISPI,9,1063,1,5.0,15.0
Acconciatore,Bastioni,DI PORTA VOLTA,13,1066,1,6.0,37.0
Tipo A - Estetica Manuale,Bastioni,DI PORTA VOLTA,5,1066,1,8.0,45.0
Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento,Bastioni,DI PORTA VOLTA,9,1066,1,13.0,30.0
