"CODICE_VIA";"NUMEROCOMPLETO";"MUNICIPIO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1;"0";"1";8;1514869,0684;5034558,1685;514841,0742;5034538,1522;1023008,4371;5694900,7068;45,464212;9,189841;0;220853;0
10;"";"1";8;1514881,7327;5034715,0701;514853,7376;5034695,0508;1023026,9972;5695124,8228;45,465624;9,190008;0;185926;0
96;"";"1";8;1514978,125;5033926,7931;514950,1313;5033906,7891;1023161,59;5693998,3746;45,458527;9,191217;0;182740;0
97;"";"1";8;1515488,9789;5034734,8965;515460,9723;5034714,8795;1023891,758;5695151,0593;45,46579;9,197776;0;182741;0
98;"";"1";8;1515203,8429;5034700,3326;515175,8418;5034680,315;1023485,6172;5695102,6701;45,465485;9,194128;0;182742;0
99;"";"1";8;1514774,7958;5034835,7275;514746,8022;5034815,7055;1022875,1263;5695297,564;45,466713;9,188644;0;186632;0
100;"";"1";8;1515262,0274;5034735,7718;515234,025;5034715,7537;1023568,5912;5695153,1003;45,465803;9,194873;0;182743;0
101;"";"1";8;1514641,0603;5035170,9128;514613,0679;5035150,8839;1022685,7974;5695776,9028;45,469733;9,186943;0;185927;0
102;"";"1";8;1514738,9846;5034555,9011;514710,9929;5034535,8843;1022823,2006;5694897,9037;45,464195;9,188177;0;185928;0
103;"";"1";8;1514825,972;5034759,8149;514797,9778;5034739,7946;1022947,7463;5695188,9366;45,466028;9,189296;0;182744;0
104;"";"1";8;1514787,1431;5034661,0518;514759,15;5034641,0332;1022892,1254;5695047,9664;45,46514;9,188796;0;182745;0
105;"";"1";8;1514678,7163;5034713,0213;514650,7251;5034693,0012;1022737,9041;5695122,5755;45,46561;9,187411;0;182746;0
106;"";"1";8;1514768,0315;5034666,4453;514740,0388;5034646,4265;1022864,9296;5695055,7359;45,465189;9,188552;0;185929;0
107;"";"1";8;1514722,3843;5034665,4342;514694,3925;5034645,4153;1022799,9272;5695054,4439;45,465181;9,187968;0;185033;0
108;"";"1";8;1514779,2923;5034783,6704;514751,2989;5034763,6495;1022881,3556;5695223,1752;45,466244;9,1887;0;182747;0
109;"";"1";8;1514730,231;5034752,5133;514702,2386;5034732,4928;1022811,39;5695178,8254;45,465965;9,188071;0;182748;0
110;"";"1";8;1514653,753;5034774,608;514625,7619;5034754,5867;1022702,5611;5695210,6464;45,466165;9,187093;0;182749;0
111;"";"1";8;1514731,0604;5034811,1366;514703,0678;5034791,1149;1022812,7661;5695262,5772;45,466492;9,188083;0;185930;0
112;"";"1";8;1514784,0252;5034868,7819;514756,0313;5034848,7593;1022888,3792;5695344,7582;45,46701;9,188763;0;182750;0
113;"";"1";8;1514769,1599;5034858,9173;514741,1663;5034838,8949;1022867,1782;5695330,7144;45,466922;9,188572;0;182751;0
114;"";"1";8;1514662,368;5034864,9951;514634,3764;5034844,9721;1022715,1279;5695339,7538;45,466979;9,187206;0;182752;0
115;"";"1";8;1514586,6096;5034915,8993;514558,6192;5034895,8751;1022607,4163;5695412,7325;45,467438;9,186239;0;182753;0
116;"";"1";8;1514648,9872;5034945,6621;514620,9955;5034925,6375;1022696,3406;5695455,0487;45,467705;9,187038;0;185931;0
117;"";"1";8;1514719,8492;5035028,9337;514691,8559;5035008,9078;1022797,5255;5695573,7862;45,468453;9,187946;0;185932;0
118;"";"1";8;1514777,6513;5035022,0351;514749,6569;5035002,0096;1022879,8142;5695563,7367;45,46839;9,188686;0;182754;0
119;"";"1";8;1514883,2581;5035096,2644;514855,2614;5035076,238;1023030,4505;5695669,4373;45,469056;9,190039;0;182755;0
120;"";"1";8;1514848,1048;5035036,1352;514820,109;5035016,1097;1022980,189;5695583,6457;45,468515;9,189587;0;182756;0
121;"";"1";8;1514841,9265;5035123,0107;514813,9305;5035102,9836;1022971,6822;5695707,7907;45,469297;9,189511;0;182757;0
122;"";"1";8;1514700,7668;5035261,8196;514672,7729;5035241,7893;1022771,1248;5695906,591;45,47055;9,187709;0;182758;0
